id,true,ours,bracol,n_det,multi_lesion,agree
528,Phoma,Phoma,Phoma,3,False,1
622,Miner,Phoma,Phoma,2,False,1
361,Phoma,Phoma,Phoma,2,False,1
1594,Rust,Rust,Rust,3,False,1
1012,Miner,Miner,Phoma,3,False,0
56,Miner,Miner,Miner,2,False,1
993,Healthy,Healthy,Healthy,0,False,1
1347,Rust,Rust,Rust,7,False,1
262,Phoma,Phoma,Phoma,3,False,1
1425,Rust,Rust,Rust,17,False,1
1714,Miner,Rust,Phoma,1,False,0
522,Rust,Rust,Rust,9,False,1
42,Miner,Miner,Miner,2,False,1
964,Healthy,Healthy,Healthy,0,False,1
742,Cercospora,Cercospora,Cercospora,1,False,1
632,Miner,Miner,Phoma,1,False,0
155,Rust,Rust,Rust,8,False,1
1299,Rust,Rust,Rust,11,True,1
1522,Rust,Rust,Rust,25,False,1
322,Phoma,Phoma,Phoma,4,False,1
1472,Rust,Rust,Rust,11,True,1
1302,Rust,Rust,Rust,15,False,1
813,Rust,Rust,Rust,4,False,1
944,Healthy,Healthy,Healthy,0,False,1
408,Phoma,Phoma,Phoma,1,False,1
1382,Rust,Rust,Rust,11,False,1
1487,Miner,Cercospora,Rust,4,True,0
1678,Rust,Cercospora,Rust,20,True,0
797,Miner,Phoma,Miner,3,False,0
962,Healthy,Healthy,Healthy,0,False,1
855,Miner,Miner,Phoma,2,False,0
95,Rust,Rust,Rust,13,True,1
249,Phoma,Phoma,Phoma,1,False,1
130,Rust,Rust,Rust,18,False,1
1526,Rust,Rust,Rust,2,False,1
989,Healthy,Rust,Healthy,0,False,0
481,Phoma,Phoma,Phoma,2,False,1
1019,Miner,Miner,Phoma,1,False,0
828,Miner,Miner,Miner,1,False,1
605,Rust,Miner,Rust,6,False,0
966,Healthy,Healthy,Healthy,0,False,1
1265,Rust,Rust,Rust,26,False,1
218,Miner,Miner,Miner,1,False,1
168,Rust,Rust,Rust,19,False,1
1511,Mixed,Cercospora,Rust,1,False,0
285,Phoma,Phoma,Phoma,3,False,1
1154,Mixed,Cercospora,Cercospora,2,True,1
